id,compartments,species,reactions,parameters,events,rules,function_definitions,time,bytes,gctime,gcstats,filesize
MODEL1703150000,9,2129,1474,5896,0,0,0,6.271925089,206052189,0.311734887,"Base.GC_Diff(206052189, 234, 0, 4297827, 3018, 96, 311734887, 1, 1)",5474990
MODEL1001200000,2,1748,1059,6103,0,0,0,9.484958256,54213985,0.0,"Base.GC_Diff(54213985, 99, 0, 1549444, 372, 0, 0, 0, 0)",5219685
BIOMD0000000497,2,295,285,2031,1,0,0,5.174880315,9605232,0.0,"Base.GC_Diff(9605232, 8, 0, 325760, 13, 0, 0, 0, 0)",2990743
BIOMD0000000496,2,295,285,2020,1,0,0,5.118963571,9579824,0.0,"Base.GC_Diff(9579824, 8, 0, 324959, 13, 0, 0, 0, 0)",2970772
MODEL1009150002,7,1604,1826,7304,0,0,0,5.085337304,15635770,0.829799745,"Base.GC_Diff(15635770, 15, 0, 305983, 17, 34, 829799745, 1, 0)",2619292
MODEL3632127506,2,872,1750,3422,0,0,0,2.523304768,14765656,0.0,"Base.GC_Diff(14765656, 15, 0, 319097, 14, 0, 0, 0, 0)",1703226
MODEL1007060000,4,1025,1001,4004,0,0,0,1.867753183,9940584,0.0,"Base.GC_Diff(9940584, 15, 0, 166753, 15, 0, 0, 0, 0)",1574016
BIOMD0000000579,5,240,175,272,0,0,0,0.584050068,2910504,0.0,"Base.GC_Diff(2910504, 6, 0, 37880, 123, 0, 0, 0, 0)",1518146
BIOMD0000000628,1,135,587,152,3,94,0,2.052178168,5021792,0.0,"Base.GC_Diff(5021792, 4, 0, 102482, 10, 0, 0, 0, 0)",1505136
BIOMD0000000474,5,133,367,388,0,29,0,1.304671303,3863499,0.0,"Base.GC_Diff(3863499, 5, 0, 95787, 11, 0, 0, 0, 0)",1085325
MODEL3631586579,1,436,850,1661,0,0,0,0.948385322,6830336,0.0,"Base.GC_Diff(6830336, 10, 0, 154097, 13, 0, 0, 0, 0)",802873
MODEL1505110000,3,77,68,440,0,3,0,0.75999821,1907552,0.0,"Base.GC_Diff(1907552, 4, 0, 61617, 10, 0, 0, 0, 0)",549199
MODEL1710030000,1,97,143,166,7,64,0,0.313308653,1501032,0.0,"Base.GC_Diff(1501032, 3, 0, 40422, 8, 0, 0, 0, 0)",545026
MODEL1006230090,1,0,0,650,0,376,0,12.419488444,3063168,0.0,"Base.GC_Diff(3063168, 2, 0, 124583, 7, 0, 0, 0, 0)",482581
BIOMD0000000505,2,54,59,224,0,1,0,1.873952032,1922368,0.0,"Base.GC_Diff(1922368, 4, 0, 63404, 10, 0, 0, 0, 0)",472367
BIOMD0000000627,6,65,64,228,0,23,0,0.248540257,1508504,0.0,"Base.GC_Diff(1508504, 4, 0, 37239, 12, 0, 0, 0, 0)",454725
BIOMD0000000183,1,67,352,61,0,46,0,0.412151413,2435576,0.0,"Base.GC_Diff(2435576, 4, 0, 54920, 10, 0, 0, 0, 0)",451300
MODEL1508170000,8,144,146,266,4,0,0,0.236871503,1629072,0.0,"Base.GC_Diff(1629072, 5, 0, 33047, 11, 0, 0, 0, 0)",441044
BIOMD0000000494,1,80,71,141,2,2,0,0.227456964,1080952,0.0,"Base.GC_Diff(1080952, 3, 0, 24977, 30, 0, 0, 0, 0)",440372
MODEL1708210000,1,59,106,124,1,0,0,1.258381295,2243328,0.0,"Base.GC_Diff(2243328, 3, 0, 76944, 11, 0, 0, 0, 0)",436941
BIOMD0000000506,2,54,59,224,0,2,0,2.256518695,1924648,0.419601297,"Base.GC_Diff(1924648, 4, 0, 63500, 10, 41, 419601297, 1, 1)",395357
BIOMD0000000636,1,78,113,169,0,8,0,0.172597105,1263776,0.0,"Base.GC_Diff(1263776, 3, 0, 27664, 9, 0, 0, 0, 0)",377351
